dest_room,bill_room,date,time,orders,menu_id,prefix_room,name,price,category,capacity,type
L0,L0,2016-02-09,10:15:00,3,6,L,deluxe-breakfast,12.0,breakfast,50,conference_room_large
restaurant,L0,2016-02-07,11:35:00,5,8,L,deluxe-lunch,10.0,lunch,50,conference_room_large
L0,L0,2016-03-17,06:54:00,5,12,L,spareribs,17.0,dinner,50,conference_room_large
restaurant,L0,2016-03-15,17:53:00,4,7,L,simple-lunch,5.0,lunch,50,conference_room_large
L0,L0,2016-03-16,14:54:00,5,7,L,simple-lunch,5.0,lunch,50,conference_room_large
restaurant,L0,2016-03-15,19:32:00,1,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,N1,2016-03-16,07:52:00,1,9,N,steak 'n stuff,18.0,dinner,1,normal_room
N2,N2,2016-03-22,10:04:00,2,8,N,deluxe-lunch,10.0,lunch,1,normal_room
L1,L1,2016-02-08,13:17:00,1,2,L,beer,3.5,alcoholic-drink,50,conference_room_large
S61,S61,2016-03-04,22:34:00,3,10,S,surf 'n turf,17.0,dinner,15,conference_room_small
S62,S62,2016-03-05,01:36:00,3,10,S,surf 'n turf,17.0,dinner,15,conference_room_small
restaurant,L1,2016-03-26,02:08:00,4,0,L,water,2.5,drink,50,conference_room_large
restaurant,L2,2016-03-24,16:01:00,4,9,L,steak 'n stuff,18.0,dinner,50,conference_room_large
L2,L2,2016-03-23,08:58:00,1,0,L,water,2.5,drink,50,conference_room_large
restaurant,L2,2016-03-22,02:12:00,5,14,L,coffee,3.0,drink,50,conference_room_large
restaurant,L0,2016-03-06,01:40:00,5,5,L,french-breakfast,7.0,breakfast,50,conference_room_large
restaurant,L0,2016-03-05,10:10:00,3,6,L,deluxe-breakfast,12.0,breakfast,50,conference_room_large
restaurant,L1,2016-01-03,06:33:00,1,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
S0,S0,2016-01-13,07:28:00,5,14,S,coffee,3.0,drink,15,conference_room_small
S2,S2,2016-01-14,02:43:00,5,6,S,deluxe-breakfast,12.0,breakfast,15,conference_room_small
D2,D2,2016-03-04,19:31:00,1,1,D,soft-drink,3.0,drink,3,double_room
restaurant,D3,2016-03-06,23:06:00,5,6,D,deluxe-breakfast,12.0,breakfast,3,double_room
L1,L1,2016-01-03,00:02:00,4,8,L,deluxe-lunch,10.0,lunch,50,conference_room_large
L1,L1,2016-04-05,01:44:00,4,10,L,surf 'n turf,17.0,dinner,50,conference_room_large
restaurant,L1,2016-04-05,15:22:00,3,3,L,wine,3.5,alcoholic-drink,50,conference_room_large
restaurant,L1,2016-03-28,03:20:00,4,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,L1,2016-04-02,00:09:00,5,4,L,simple-breakfast,5.0,breakfast,50,conference_room_large
restaurant,L1,2016-04-01,07:28:00,2,0,L,water,2.5,drink,50,conference_room_large
restaurant,L1,2016-04-01,01:24:00,2,6,L,deluxe-breakfast,12.0,breakfast,50,conference_room_large
L2,L2,2016-04-01,20:58:00,2,7,L,simple-lunch,5.0,lunch,50,conference_room_large
L2,L2,2016-03-31,07:44:00,5,14,L,coffee,3.0,drink,50,conference_room_large
L2,L2,2016-03-31,23:38:00,1,1,L,soft-drink,3.0,drink,50,conference_room_large
restaurant,L2,2016-03-28,00:23:00,3,7,L,simple-lunch,5.0,lunch,50,conference_room_large
restaurant,L2,2016-04-02,16:25:00,2,15,L,tea,2.5,drink,50,conference_room_large
L2,L2,2016-04-03,10:21:00,1,13,L,super soup,14.0,dinner,50,conference_room_large
